"from","to"
"spi00412","NCT00003470"
"spi00107","NCT00004688"
"spi00773","NCT00024557"
"spi00773","NCT00024570"
"spi00137","NCT00031083"
"spi00104","NCT00031538"
"spi00104","NCT00035373"
"spi00773","NCT00041587"
"spi00104","NCT00062504"
"spi00846","NCT00062504"
"spi00773","NCT00064779"
"spi00773","NCT00089427"
"spi00914","NCT00114309"
"spi01536","NCT00115440"
"spi00130","NCT00301418"
"spi00062","NCT00301418"
"spi00099","NCT00390299"
"spi00104","NCT00390299"
"spi01768","NCT00409214"
"spi01201","NCT00430911"
"spi06566","NCT00431561"
"spi02220","NCT00473408"
"spi02822","NCT00473408"
"spi08712","NCT00589875"
"spi00584","NCT00606008"
"spi00123","NCT00606008"
"spi00343","NCT00610571"
"spi08993","NCT00610571"
"spi00136","NCT00610571"
"spi00075","NCT00612651"
"spi00136","NCT00612651"
"spi00626","NCT00645385"
"spi00056","NCT00645385"
"spi00104","NCT00667394"
"spi00736","NCT00717210"
"spi03063","NCT00717210"
"spi01568","NCT00717210"
"spi02587","NCT00717210"
"spi10327","NCT00717210"
"spi01997","NCT00717210"
"spi01747","NCT00717210"
"spi01857","NCT00717210"
"spi02833","NCT00717210"
"spi01880","NCT00717210"
"spi00018","NCT00734682"
"spi09031","NCT00734864"
"spi00120","NCT00734864"
"spi08712","NCT00751270"
"spi06566","NCT00761280"
"spi00011","NCT00879437"
"spi00246","NCT00884416"
"spi01499","NCT00884416"
"spi00062","NCT00968240"
"spi00104","NCT00995007"
"spi00316","NCT01082926"
"spi00312","NCT01095094"
"spi00378","NCT01144247"
"spi00104","NCT01144247"
"spi00586","NCT01144247"
"spi00353","NCT01151670"
"spi16088","NCT01156584"
"spi00003","NCT01171469"
"spi14398","NCT01180816"
"spi15082","NCT01180816"
"spi00062","NCT01180816"
"spi00378","NCT01204684"
"spi00104","NCT01222754"
"spi00123","NCT01227434"
"spi00018","NCT01227434"
"spi00062","NCT01238237"
"spi00104","NCT01250470"
"spi00308","NCT01250470"
"spi14398","NCT01269853"
"spi00062","NCT01269853"
"spi00104","NCT01281982"
"spi00104","NCT01316809"
"spi00126","NCT01380782"
"spi00060","NCT01380782"
"spi06692","NCT01380782"
"spi00388","NCT01380782"
"spi00390","NCT01380782"
"spi00353","NCT01380782"
"spi00062","NCT01386710"
"spi16088","NCT01470794"
"spi01568","NCT01502241"
"spi00104","NCT01522820"
"spi00308","NCT01522820"
"spi21388","NCT01637753"
"spi21388","NCT01656980"
"spi02892","NCT01711580"
"spi14761","NCT01721577"
"spi00403","NCT01721577"
"spi08570","NCT01765088"
"spi05726","NCT01765088"
"spi02409","NCT01765088"
"spi13619","NCT01765088"
"spi08077","NCT01765088"
"spi24512","NCT01808820"
"spi00104","NCT01836549"
"spi00618","NCT01836549"
"spi00157","NCT01837862"
"spi24938","NCT01837862"
"spi00083","NCT01849952"
"spi00044","NCT01861990"
"spi00056","NCT01884740"
"spi19430","NCT01967758"
"spi01745","NCT01967758"
"spi00104","NCT01975116"
"spi00618","NCT01975116"
"spi16088","NCT01985256"
"spi02156","NCT02022384"
"spi00591","NCT02039778"
"spi00538","NCT02039778"
"spi00104","NCT02101905"
"spi00104","NCT02168270"
"spi00320","NCT02168270"
"spi00607","NCT02238496"
"spi17308","NCT02238496"
"spi00123","NCT02238496"
"spi00006","NCT02372409"
"spi16088","NCT02414165"
"spi00315","NCT02490930"
"spi00053","NCT02540135"
"spi02409","NCT02629757"
"spi00315","NCT02644291"
"spi00563","NCT02684058"
"spi07930","NCT02755987"
"spi38656","NCT02796261"
"spi00062","NCT02800486"
"spi00080","NCT02885324"
"spi00273","NCT03022578"
"spi10688","NCT03022578"
"spi00413","NCT03043391"
"spi42214","NCT03043391"
"spi15788","NCT03043391"
"spi42215","NCT03043391"
"spi00016","NCT03072134"
"spi00317","NCT03180502"
"spi00104","NCT03180502"
