"id","label","type","color"
"spi00861","Otsuka Pharmaceutical Development & Commercialization, Inc.","Industry","firebrick1"
"spi00216","Otsuka America Pharmaceutical","Industry","firebrick1"
"spi00013","Icahn School of Medicine at Mount Sinai","Other","cornflowerblue"
"spi00057","National Institute of Mental Health (NIMH)","US Fed","gold"
"spi00426","Eli Lilly and Company","Industry","firebrick1"
"spi00035","National Institute on Drug Abuse (NIDA)","US Fed","gold"
"spi00120","Bristol-Myers Squibb","Industry","firebrick1"
"spi01593","Federal University of Rio Grande do Sul","Other","cornflowerblue"
"spi01312","Hospital de Clinicas de Porto Alegre","Other","cornflowerblue"
"spi00967","Veterans Medical Research Foundation","Other","cornflowerblue"
"spi00062","Northwell Health","Other","cornflowerblue"
"spi00414","State University of New York - Upstate Medical University","Other","cornflowerblue"
"spi00067","University of Medicine and Dentistry of New Jersey","Other","cornflowerblue"
"spi00060","Massachusetts General Hospital","Other","cornflowerblue"
"spi00044","Medical University of South Carolina","Other","cornflowerblue"
"spi00096","National Institute on Alcohol Abuse and Alcoholism (NIAAA)","US Fed","gold"
"spi00688","University Hospitals Cleveland Medical Center","Other","cornflowerblue"
"spi00379","Indiana University School of Medicine","Other","cornflowerblue"
"spi00080","Indiana University","Other","cornflowerblue"
"spi03139","Otsuka Beijing Research Institute","Industry","firebrick1"
"spi03140","Zhejiang Otsuka Pharmaceutical Co., Ltd.","Industry","firebrick1"
"spi00006","Washington University School of Medicine","Other","cornflowerblue"
"spi00586","National Institutes of Health (NIH)","US Fed","gold"
"spi00090","Creighton University","Other","cornflowerblue"
"spi00420","Drexel University College of Medicine","Other","cornflowerblue"
"spi00107","Emory University","Other","cornflowerblue"
"spi03313","Louisiana State University Health Sciences Center Shreveport","Other","cornflowerblue"
"spi03314","SAM Technology & The San Francisco Brain Research Institute","Other","cornflowerblue"
"spi01470","Janssen-Cilag International NV","Industry","firebrick1"
"spi03415","Korea Otsuka Pharmaceutical Co., Ltd.","Industry","firebrick1"
"spi00538","St. Luke's-Roosevelt Hospital Center","Other","cornflowerblue"
"spi00092","Children's Hospital Medical Center, Cincinnati","Other","cornflowerblue"
"spi00508","University of Cincinnati","Other","cornflowerblue"
"spi00058","University of Pittsburgh","Other","cornflowerblue"
"spi00368","The University of Texas Health Science Center at San Antonio","Other","cornflowerblue"
"spi03586","New Mexico VA Healthcare System","US Fed","gold"
"spi02033","Cambridge Health Alliance","Other","cornflowerblue"
"spi00036","Yale University","Other","cornflowerblue"
"spi00024","New York University School of Medicine","Other","cornflowerblue"
"spi00524","University of Iowa","Other","cornflowerblue"
"spi04420","Craig Rush","Other","cornflowerblue"
"spi00685","University Hospital Freiburg","Other","cornflowerblue"
"spi00039","New York State Psychiatric Institute","Other","cornflowerblue"
"spi01141","Otsuka Pharmaceutical Co., Ltd.","Industry","firebrick1"
"spi00061","University of Florida","Other","cornflowerblue"
"spi04517","Taiwan Otsuka Pharm. Co., Ltd","Industry","firebrick1"
"spi02237","National Alliance for Research on Schizophrenia and Depression","Other","cornflowerblue"
"spi00016","Northwestern University","Other","cornflowerblue"
"spi00123","Pfizer","Industry","firebrick1"
"spi00113","Vanderbilt University","Other","cornflowerblue"
"spi00031","Janssen, LP","Industry","firebrick1"
"spi00587","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Industry","firebrick1"
"spi00021","University of North Carolina, Chapel Hill","Other","cornflowerblue"
"spi03919","Seoul National University Hospital","Other","cornflowerblue"
"spi00907","H. Lundbeck A/S","Industry","firebrick1"
"spi01515","Solvay Pharmaceuticals","Industry","firebrick1"
"spi00187","Wyeth is now a wholly owned subsidiary of Pfizer","Industry","firebrick1"
"spi03747","North Suffolk Mental Health Association","Other","cornflowerblue"
"spi04217","Inje University","Other","cornflowerblue"
"spi03516","Lindner Center of HOPE","Other","cornflowerblue"
"spi05838","Department of Psychiatry, Jamaica Hospital Medical Center","Other","cornflowerblue"
"spi05837","Jamaica Hospital Medical Center","Other","cornflowerblue"
"spi05839","Research Division","Other","cornflowerblue"
"spi05780","Universita di Verona","Other","cornflowerblue"
"spi04670","Federal University of São Paulo","Other","cornflowerblue"
"spi00075","Duke University","Other","cornflowerblue"
"spi07025","Yu-Li Hospital","Other","cornflowerblue"
"spi01978","Korea Otsuka International Asia Arab","Industry","firebrick1"
"spi04090","Durham VA Medical Center","US Fed","gold"
"spi02039","San Francisco Department of Public Health","Other","cornflowerblue"
"spi00370","Georgetown University","Other","cornflowerblue"
"spi00054","Washington D.C. Veterans Affairs Medical Center","US Fed","gold"
"spi05745","Cliniques universitaires Saint-Luc- Université Catholique de Louvain","Other","cornflowerblue"
"spi01086","Maine Medical Center","Other","cornflowerblue"
"spi00708","Robert Wood Johnson Foundation","Other","cornflowerblue"
"spi03866","Genovate Biotechnology Co., Ltd.,","Industry","firebrick1"
"spi01627","National Science Council, Taiwan","Other","cornflowerblue"
"spi01625","National Taiwan University Hospital","Other","cornflowerblue"
"spi05265","Taoyuan Psychiatric Center, Ministry of Health and Welfare, Executive Yuan, R.O.C. Taiwan","Other","cornflowerblue"
"spi01087","University of Texas Southwestern Medical Center","Other","cornflowerblue"
"spi00424","AstraZeneca","Industry","firebrick1"
"spi04631","Kettering Health Network","Other","cornflowerblue"
"spi00041","VA Office of Research and Development","US Fed","gold"
"spi03270","Covance","Industry","firebrick1"
"spi10546","Paul Saenger","Other","cornflowerblue"
"spi00327","University of Maryland","Other","cornflowerblue"
"spi00009","Johns Hopkins University","Other","cornflowerblue"
"spi00063","The Zucker Hillside Hospital","Other","cornflowerblue"
"spi04404","Department of Health","Other","cornflowerblue"
"spi11728","Chimei Medical Center","Other","cornflowerblue"
"spi00397","Brown University","Other","cornflowerblue"
"spi13040","Ministry of Health & Welfare, Korea","Other","cornflowerblue"
"spi00082","Stanford University","Other","cornflowerblue"
"spi13414","Yu-Li Veterans Hospital","Other","cornflowerblue"
"spi01378","Janssen Research & Development, LLC","Industry","firebrick1"
"spi12873","Chonbuk National University Hospital","Other","cornflowerblue"
"spi03119","Taichung Veterans General Hospital","Other","cornflowerblue"
"spi02455","Mario Negri Institute for Pharmacological Research","Other","cornflowerblue"
"spi01741","Medical University of Vienna","Other","cornflowerblue"
"spi03238","Ministry of Science and Technology of the People´s Republic of China","Other","cornflowerblue"
"spi02345","Peking University","Other","cornflowerblue"
"spi07822","Juan A. Arnaiz","Other","cornflowerblue"
"spi09340","National Institute for Health Research, United Kingdom","Other","cornflowerblue"
"spi00367","University of Oxford","Other","cornflowerblue"
"spi00853","Forest Laboratories","Industry","firebrick1"
"spi07291","Gedeon Richter Ltd.","Industry","firebrick1"
"spi02773","AP Moeller Foundation","Other","cornflowerblue"
"spi00272","Albert Einstein College of Medicine, Inc.","Other","cornflowerblue"
"spi15590","Allocated inheritance from Elizabeth Stevn and Niels Rindom, Denmark","Other","cornflowerblue"
"spi15584","Anne Katrine Pagsberg","Other","cornflowerblue"
"spi15588","Capital Region Pharmacy, Denmark","Other","cornflowerblue"
"spi01736","Copenhagen Trial Unit, Center for Clinical Intervention Research","Other","cornflowerblue"
"spi15586","Psychiatric Centre Copenhagen, Denmark","Other","cornflowerblue"
"spi15587","Research Institute for Biological Psychiatry, Sct. Hans Hospital, Denmark","Other","cornflowerblue"
"spi15585","The Psychiatric Centre for Children and Adolescents in Bispebjerg, Denmark","Other","cornflowerblue"
"spi15589","The Research Council for Health and Disease, Denmark","Other","cornflowerblue"
"spi15591","Tryg Fonden, Denmark","Other","cornflowerblue"
"spi01719","Copenhagen Hospital Corporation","Other","cornflowerblue"
"spi02324","Glostrup University Hospital, Copenhagen","Other","cornflowerblue"
"spi02285","Institute of Psychiatry, London","Other","cornflowerblue"
"spi00435","Rigshospitalet, Denmark","Other","cornflowerblue"
"spi01794","UMC Utrecht","Other","cornflowerblue"
"spi02464","University of Copenhagen","Other","cornflowerblue"
"spi05308","Janssen Scientific Affairs, LLC","Industry","firebrick1"
"spi01506","Oslo University Hospital","Other","cornflowerblue"
"spi01280","German Federal Ministry of Education and Research","Other","cornflowerblue"
"spi06439","University of Bremen","Other","cornflowerblue"
"spi01021","Ortho-McNeil Janssen Scientific Affairs, LLC","Industry","firebrick1"
"spi02034","Lawson Health Research Institute","Other","cornflowerblue"
"spi00343","GlaxoSmithKline","Industry","firebrick1"
"spi02220","Haukeland University Hospital","Other","cornflowerblue"
"spi02177","Helse Vest","Other","cornflowerblue"
"spi19340","Korea OIAA","Other","cornflowerblue"
"spi06635","Korea University","Other","cornflowerblue"
"spi20368","Reviva Pharmaceuticals","Industry","firebrick1"
"spi00086","Merck Sharp & Dohme Corp.","Industry","firebrick1"
"spi20725","Serge Beaulieu","Other","cornflowerblue"
"spi03411","Janssen Korea, Ltd., Korea","Industry","firebrick1"
"spi01303","Centre for Addiction and Mental Health","Other","cornflowerblue"
"spi00109","McGill University","Other","cornflowerblue"
"spi01937","McMaster University","Other","cornflowerblue"
"spi02173","Queen's University","Other","cornflowerblue"
"spi00482","University Health Network, Toronto","Other","cornflowerblue"
"spi01034","University of British Columbia","Other","cornflowerblue"
"spi01442","University of Calgary","Other","cornflowerblue"
"spi02865","University of Toronto","Other","cornflowerblue"
"spi00519","University of Sao Paulo","Other","cornflowerblue"
"spi12842","University of Malaya","Other","cornflowerblue"
"spi23633","Si Tianmei","Other","cornflowerblue"
"spi24656","Wei Hao","Other","cornflowerblue"
"spi00221","The Dana Foundation","Other","cornflowerblue"
"spi00018","University of California, San Francisco","Other","cornflowerblue"
"spi05103","Centre Hospitalier Universitaire de Nice","Other","cornflowerblue"
"spi09745","Beijing HuiLongGuan Hospital","Other","cornflowerblue"
"spi27625","Qingyun Yin","Other","cornflowerblue"
"spi28041","Yoo-Sook Joung","Other","cornflowerblue"
"spi04870","Central South University","Other","cornflowerblue"
"spi20521","Deborah Yurgelun-Todd","Other","cornflowerblue"
"spi31061","Matt Byerly","Other","cornflowerblue"
"spi16585","Centro de Investigación Biomédica en Red de Salud Mental","Other","cornflowerblue"
"spi29928","Fundación Marques de Valdecilla","Other","cornflowerblue"
"spi29929","Instituto de Investigación Marqués de Valdecilla","Other","cornflowerblue"
"spi00253","Alkermes, Inc.","Industry","firebrick1"
"spi09808","Vancouver Coastal Health","Other","cornflowerblue"
"spi32306","Vanguard Research Group","Other","cornflowerblue"
"spi00300","Hannover Medical School","Other","cornflowerblue"
"spi33948","Gazda, Thomas D., M.D., PC","Other","cornflowerblue"
"spi34346","CMG Pharmaceutical Co. Ltd","Industry","firebrick1"
"spi00017","University of California, Los Angeles","Other","cornflowerblue"
"spi17795","Shanxi Medical University","Other","cornflowerblue"
"spi37165","Abdi İbrahim Otsuka","Industry","firebrick1"
"spi37452","Burrell Behavioral Health","Other","cornflowerblue"
"spi03648","Florida Atlantic University","Other","cornflowerblue"
"spi07236","University of Missouri, Kansas City","Other","cornflowerblue"
"spi01071","University of Missouri-Columbia","Other","cornflowerblue"
"spi00100","National Heart, Lung, and Blood Institute (NHLBI)","US Fed","gold"
"spi01081","University at Buffalo","Other","cornflowerblue"
"spi40076","CGStat LLC","Other","cornflowerblue"
"spi04897","Montana State University","Other","cornflowerblue"
"spi40075","National Alliance on Mental Illness","Other","cornflowerblue"
"spi18250","Patient-Centered Outcomes Research Institute","Other","cornflowerblue"
"spi40077","Risk Benefit Statistics LLC","Other","cornflowerblue"
"spi00337","University of New Mexico","Other","cornflowerblue"
"spi09514","Shanghai Mental Health Center","Other","cornflowerblue"
"spi20502","Institute of Mental Health, Singapore","Other","cornflowerblue"
"spi31712","Juntendo University","Other","cornflowerblue"
